Rider ID,Country,UCI Team 2010,Rider Name,Price 2010,Score 2010,Gender,UCI Cat 2010,Born,Age 2010,UCI Team 2011,Price 2011,Score 2011,UCI Cat 2011,Age 2011,UCI Team 2012,Price 2012,Score 2012,UCI Cat 2012,Age 2012,UCI Team 2013,Price 2013,Score 2013,UCI Cat 2013,Age 2013,UCI Team 2014,Price 2014,Score 2014,UCI Cat 2014,Age 2014,UCI Team 2015,Price 2015,Score 2015,UCI Cat 2015,Age 2015,UCI Team 2016,Price 2016,Score 2016,UCI Cat 2016,Age 2016,UCI Team 2017,Price 2017,Score 2017,UCI Cat 2017,Age 2017,UCI Team 2018,Price 2018,Score 2018,UCI Cat 2018,Age 2018,UCI Team 2019,Price 2019,Score 2019,UCI Cat 2019,Age 2019,UCI Team 2020,Price 2020,Score 2020,UCI Cat 2020,Age 2020
153,IRL,ALM,Nicholas Roche,4.0,540.0,Men,WT,1984.0,26.0,ALM,8.0,150.0,WT,27.0,ALM,2.0,310.0,WT,28.0,TST,6.0,969.0,WT,29.0,TCS,16.0,339.0,WT,30.0,SKY,12.0,208.0,WT,31.0,SKY,4.0,950.0,WT,32.0,BMC,12.0,785.0,WT,33.0,BMC,10.0,150.0,WT,34.0,SUN,2.0,180.0,WT,35.0,SUN,2.0,0.0,WT,36.0
95,ESP,CTT,Xavier Tondo,6.0,532.0,Men,PROF,1978.0,32.0,MOV,10.0,340.0,WT,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,ITA,CSF,Domenico Pozzovivo,2.0,515.0,Men,PROF,1982.0,28.0,COG,8.0,490.0,PROF,29.0,COG,6.0,842.0,PROF,30.0,ALM,14.0,790.0,WT,31.0,ALM,12.0,905.0,WT,32.0,ALM,18.0,975.0,WT,33.0,ALM,16.0,167.0,WT,34.0,ALM,8.0,1226.0,WT,35.0,TBM,16.0,1280.0,WT,36.0,TBM,14.0,205.0,WT,37.0,NTT,4.0,0.0,WT,38.0
78,FRA,VAC,Romain Feillu,6.0,515.0,Men,PROF,1984.0,26.0,VCD,6.0,645.0,WT,27.0,VCD,8.0,160.0,WT,28.0,VCD,6.0,80.0,WT,29.0,BSE,2.0,100.0,PROF,30.0,BSE,1.0,95.0,PROF,31.0,AUB,1.0,345.0,CONT,32.0,AUB,6.0,0.0,CONT,33.0,AUB,1.0,0.0,CONT,34.0,AUB,1.0,0.0,CONT,35.0,,,,,
53,ITA,ASA,Luca Paolini,10.0,500.0,Men,PROF,1977.0,33.0,KAT,8.0,290.0,WT,34.0,KAT,4.0,985.0,WT,35.0,KAT,14.0,779.0,WT,36.0,KAT,12.0,40.0,WT,37.0,KAT,4.0,250.0,WT,38.0,XYZ,4.0,0.0,,39.0,XYZ,1.0,0.0,,40.0,,,,,,,,,,,,,,,
155,ESP,GCE,Jose Joaquin Rojas,4.0,495.0,Men,WT,1985.0,25.0,MOV,8.0,985.0,WT,26.0,MOV,12.0,122.0,WT,27.0,MOV,4.0,415.0,WT,28.0,MOV,8.0,245.0,WT,29.0,MOV,4.0,255.0,WT,30.0,MOV,4.0,123.0,WT,31.0,MOV,2.0,312.0,WT,32.0,MOV,2.0,65.0,WT,33.0,MOV,1.0,50.0,WT,34.0,MOV,1.0,0.0,WT,35.0
43,IRL,GRM,Daniel Martin,12.0,490.0,Men,WT,1986.0,24.0,GRM,10.0,1076.0,WT,25.0,GRS,16.0,610.0,WT,26.0,GRS,12.0,1363.0,WT,27.0,GRS,22.0,1155.0,WT,28.0,TCG,22.0,515.0,WT,29.0,EQS,18.0,1111.0,WT,30.0,QST,16.0,1445.0,WT,31.0,UAD,22.0,935.0,WT,32.0,UAD,14.0,630.0,WT,33.0,ISN,8.0,0.0,WT,34.0
44,ITA,VAC,Riccardo Riccò,12.0,490.0,Men,PROF,1983.0,27.0,VCD,16.0,0.0,WT,28.0,XYZ,1.0,0.0,,29.0,XYZ,1.0,0.0,,30.0,XYZ,1.0,0.0,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,GER,RAB,Paul Martens,4.0,485.0,Men,WT,1983.0,27.0,RAB,8.0,260.0,WT,28.0,RAB,4.0,75.0,WT,29.0,BLA,2.0,225.0,WT,30.0,BEL,4.0,190.0,WT,31.0,TLJ,4.0,50.0,WT,32.0,TLJ,1.0,10.0,WT,33.0,TLJ,1.0,15.0,WT,34.0,TLJ,1.0,0.0,WT,35.0,TJV,1.0,57.0,WT,36.0,TJV,1.0,0.0,WT,37.0
32,ITA,ASA,Stefano Garzelli,14.0,480.0,Men,PROF,1973.0,37.0,ASA,8.0,235.0,PROF,38.0,ASA,4.0,30.0,PROF,39.0,VIN,2.0,2.0,PROF,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,AUT,THR,Bernhard Eisel,4.0,470.0,Men,WT,1981.0,29.0,THR,6.0,335.0,WT,30.0,SKY,4.0,180.0,WT,31.0,SKY,4.0,280.0,WT,32.0,SKY,6.0,70.0,WT,33.0,SKY,2.0,0.0,WT,34.0,DDD,1.0,0.0,WT,35.0,DDD,1.0,0.0,WT,36.0,DDD,1.0,0.0,WT,37.0,TDD,1.0,0.0,WT,38.0,,,,,
96,BEL,OLO,Greg Van Avermaet,6.0,460.0,Men,WT,1985.0,25.0,BMC,8.0,1230.0,WT,26.0,BMC,14.0,1200.0,WT,27.0,BMC,18.0,1390.0,WT,28.0,BMC,22.0,1700.0,WT,29.0,BMC,26.0,2057.0,WT,30.0,BMC,30.0,2516.0,WT,31.0,BMC,34.0,2916.0,WT,32.0,BMC,36.0,2068.0,WT,33.0,CPT,28.0,2153.0,WT,34.0,CCC,28.0,0.0,WT,35.0
166,BEL,OLO,Jurgen Van Den Broeck,4.0,455.0,Men,WT,1983.0,27.0,OLO,8.0,450.0,WT,28.0,LTB,6.0,665.0,WT,29.0,LTB,12.0,82.0,WT,30.0,LTB,10.0,270.0,WT,31.0,LTS,6.0,360.0,WT,32.0,KAT,6.0,90.0,WT,33.0,TLJ,2.0,0.0,WT,34.0,,,,,,,,,,,,,,,
