	Country 	Trade Team 	Rider 	Born 	Price  ↓ 	Prev 	Score 	
309. 	ITA 	XYZ 	Simona Bortolotti 	1994 	1 	0 	0 	[+]
310. 	IRL 	TOR 	Lydia Boylan 	1987 	1 	0 	0 	[+]
311. 	FRA 	XYZ 	Charlotte Bravard 	1992 	1 	0 	0 	[+]
312. 	SLO 	ALE 	Urska Bravec 	1996 	1 	0 	0 	[+]
313. 	USA 	TOR 	Holly Breck 	1992 	1 	0 	0 	[+]
314. 	ITA 	VAI 	Angelica Brogi 	1998 	1 	0 	0 	[+]
315. 	ARG 	TIB 	Nicolle Marie Bruderer Cofino 	1993 	1 	0 	0 	[+]
316. 	NZL 	XYZ 	Rushlee Buchanan 	1988 	1 	0 	0 	[+]
317. 	ITA 	EIC 	Alessia Bulleri 	1993 	1 	0 	0 	[+]
318. 	ITA 	BPK 	Vanja Canvelli 	1997 	1 	0 	0 	[+]
319. 	ITA 	VAI 	Anastasia Carbonari 	1999 	1 	0 	0 	[+]
320. 	BEL 	LSL 	Alana Castrique 	1999 	1 	0 	0 	[+]
321. 	ITA 	BPK 	Giorgia Catarzi 	2001 	1 	0 	0 	[+]
322. 	GBR 	LSL 	Danielle Christmas 	1987 	1 	0 	0 	[+]
323. 	CYP 	CTL 	Andria Christophorou 	1992 	1 	0 	0 	[+]
324. 	ITA 	XYZ 	Sofia Cilenti 	1995 	1 	0 	0 	[+]
325. 	ITA 	VAI 	Carmela Cipriani 	1996 	1 	0 	0 	[+]
326. 	USA 	TIB 	Erica Clevenger 	1994 	1 	0 	0 	[+]
327. 	GBR 	CMW 	Alice Cobb 	1995 	1 	0 	0 	[+]
328. 	ITA 	VAI 	Sofia Collinelli 	2001 	1 	0 	0 	[+]
329. 	BEL 	XYZ 	Gilke Croket 	1992 	1 	0 	0 	[+]
330. 	AUS 	TIB 	Jenelle Crooks 	1994 	1 	0 	0 	[+]
331. 	ITA 	VAI 	Nicole D’Agostin 	1999 	1 	0 	0 	[+]
