Year,Rider ID,Rider Name,Country,UCI Team,UCI Cat,Age,Price,Score
2012,29.0,Vincenzo Nibali,ITA,LIQ,WT,28.0,18.0,1530.0
2013,29.0,Vincenzo Nibali,ITA,AST,WT,29.0,24.0,3003.0
2014,29.0,Vincenzo Nibali,ITA,AST,WT,30.0,32.0,1815.0
2015,29.0,Vincenzo Nibali,ITA,AST,WT,31.0,28.0,1423.0
2016,29.0,Vincenzo Nibali,ITA,AST,WT,32.0,24.0,1113.0
2017,29.0,Vincenzo Nibali,ITA,TBM,WT,33.0,22.0,2315.0
2018,29.0,Vincenzo Nibali,ITA,TBM,WT,34.0,32.0,830.0
2019,29.0,Vincenzo Nibali,ITA,TBM,WT,35.0,20.0,1152.0
2020,29.0,Vincenzo Nibali,ITA,TFS,WT,36.0,14.0,0.0
2010,30.0,Bradley Wiggins,GBR,SKY,WT,30.0,16.0,350.0
2011,30.0,Bradley Wiggins,GBR,SKY,WT,31.0,10.0,1486.0
2012,30.0,Bradley Wiggins,GBR,SKY,WT,32.0,18.0,2630.0
2013,30.0,Bradley Wiggins,GBR,SKY,WT,33.0,30.0,764.0
2014,30.0,Bradley Wiggins,GBR,SKY,WT,34.0,20.0,967.0
2015,30.0,Bradley Wiggins,GBR,SKY,WT,35.0,10.0,260.0
2016,30.0,Bradley Wiggins,GBR,WGN,CONT,36.0,4.0,0.0
2010,31.0,Sylvain Chavanel,FRA,QST,WT,31.0,14.0,220.0
2011,31.0,Sylvain Chavanel,FRA,QST,WT,32.0,4.0,645.0
2012,31.0,Sylvain Chavanel,FRA,OPQ,WT,33.0,10.0,1055.0
2013,31.0,Sylvain Chavanel,FRA,OPQ,WT,34.0,16.0,1585.0
2014,31.0,Sylvain Chavanel,FRA,IAM,PROF,35.0,20.0,1075.0
2015,31.0,Sylvain Chavanel,FRA,IAM,WT,36.0,18.0,165.0
2016,31.0,Sylvain Chavanel,FRA,DEN,PROF,37.0,6.0,320.0
2017,31.0,Sylvain Chavanel,FRA,DEN,PROF,38.0,4.0,335.0
2018,31.0,Sylvain Chavanel,FRA,TDE,PROF,39.0,2.0,220.0
2010,32.0,Stefano Garzelli,ITA,ASA,PROF,37.0,14.0,480.0
2011,32.0,Stefano Garzelli,ITA,ASA,PROF,38.0,8.0,235.0
2012,32.0,Stefano Garzelli,ITA,ASA,PROF,39.0,4.0,30.0
2013,32.0,Stefano Garzelli,ITA,VIN,PROF,40.0,2.0,2.0
