	Country 	UCI Team 	UCI Cat 	Rider 	Born 	Price 	Prev 	Score ↓ 	
171. 	EST 	KAT 	WT 	Rein Taaramäe 	1987 	6 	425 	310 	[+]
172. 	NED 	IAM 	WT 	Stef Clement 	1982 	1 	14 	305 	[+]
173. 	ESP 	MOV 	WT 	Juan Jose Lobato 	1988 	4 	232 	300 	[+]
174. 	GBR 	BOA 	PROF 	Scott Thwaites 	1990 	2 	130 	300 	[+]
175. 	COL 	SKY 	WT 	Sebastian Henao 	1993 	1 	54 	300 	[+]
176. 	NED 	TGA 	WT 	Sam Oomen 	1995 	1 	30 	300 	[+]
177. 	ITA 	BMC 	WT 	Daniel Oss 	1987 	4 	354 	296 	[+]
178. 	FRA 	COF 	PROF 	Nicolas Edet 	1987 	2 	130 	295 	[+]
179. 	AUS 	DDD 	WT 	Mark Renshaw 	1982 	1 	0 	295 	[+]
180. 	ITA 	TNK 	WT 	Oscar Gatto 	1985 	4 	265 	290 	[+]
181. 	USA 	BMC 	WT 	Taylor Phinney 	1990 	6 	220 	290 	[+]
182. 	BEL 	TSV 	PROF 	Pieter Van Speybroeck 	1987 	1 	10 	290 	[+]
183. 	FRA 	ALM 	WT 	Hubert Dupont 	1980 	1 	0 	282 	[+]
184. 	NED 	ROP 	PROF 	Maurits Lammertink 	1990 	4 	285 	280 	[+]
185. 	GBR 	MOV 	WT 	Alex Dowsett 	1988 	6 	504 	275 	[+]
186. 	POL 	EQS 	WT 	Lukasz Wisniowski 	1991 	1 	60 	275 	[+]
187. 	SLO 	KAT 	WT 	Simon Spilak 	1986 	12 	794 	270 	[+]
188. 	USA 	BMC 	WT 	Brent Bookwalter 	1984 	6 	447 	270 	[+]
189. 	SUI 	IAM 	WT 	Mathias Frank 	1986 	6 	355 	270 	[+]
190. 	BEL 	TLJ 	WT 	Tom Van Asbroeck 	1990 	4 	324 	270 	[+]
191. 	CRO 	BCP 	CONT 	Matija Kvasina 	1981 	2 	120 	270 	[+]
192. 	NOR 	FDJ 	WT 	Odd Christian Eiking 	1994 	1 	50 	270 	[+]
193. 	USA 	CPT 	WT 	Lawson Craddock 	1992 	1 	10 	270 	[+]
194. 	FRA 	COF 	PROF 	Julien Simon 	1985 	2 	130 	265 	[+]
195. 	FRA 	COF 	PROF 	Florian Senechal 	1993 	1 	80 	265 	[+]
196. 	ERI 	DDD 	WT 	Daniel Teklehaimanot 	1988 	2 	200 	260 	[+]
197. 	IRL 	CPT 	WT 	Ryan Mullen 	1994 	2 	100 	260 	[+]
198. 	BEL 	TSV 	PROF 	Amaury Capiot 	1993 	1 	70 	260 	[+]
199. 	BEL 	BMC 	WT 	Loic Vliegen 	1993 	1 	30 	260 	[+]
200. 	KAZ 	AST 	WT 	Andrey Zeits 	1986 	1 	9 	260 	[+]
201. 	FRA 	RLM 	CONT 	Rudy Barbier 	1992 	2 	150 	255 	[+]
202. 	ITA 	AST 	WT 	Michele Scarponi 	1979 	4 	335 	253 	[+]
203. 	DEN 	TNK 	WT 	Jesper Hansen 	1990 	4 	200 	253 	[+]
204. 	LTU 	CPT 	WT 	Ramunas Navardauskas 	1988 	12 	821 	250 	[+]
