Rider ID,Country,UCI Team 2012,Rider Name,Price 2012,Score 2012,Gender,Born,Age 2012,UCI Team 2013,Price 2013,Score 2013,Age 2013,UCI Team 2014,Price 2014,Score 2014,Age 2014,UCI Team 2015,Price 2015,Score 2015,Age 2015,UCI Team 2016,Price 2016,Score 2016,Age 2016,UCI Team 2017,Price 2017,Score 2017,Age 2017,UCI Team 2018,Price 2018,Score 2018,Age 2018,UCI Team 2019,Price 2019,Score 2019,Age 2019,UCI Team 2020,Price 2020,Score 2020,Age 2020
3620,NED,,Marieke Kerkvliet,,,Women,1990.0,,,,,,,,,,,,,,XYZ,1.0,60.0,26.0,MVC,1.0,0.0,27.0,XYZ,1.0,0.0,28.0,,,,,,,,
3608,GER,,Liane Lippert,,,Women,1998.0,,,,,,,,,,,,,,XYZ,1.0,60.0,18.0,SUN,1.0,54.0,19.0,SUN,1.0,859.0,20.0,SUN,10.0,416.0,21.0,SUN,10.0,0.0,22.0
3493,DEN,,Marie Shousboe Vilmann,,,Women,1993.0,,,,,,,,,,,,,,BMS,1.0,60.0,23.0,CBT,1.0,130.0,24.0,CBT,2.0,0.0,25.0,XYZ,1.0,0.0,26.0,,,,
3575,ITA,,Maria Vittoria Sperotto,,,Women,1996.0,,,,,,,,,,,,,,SEF,1.0,60.0,20.0,BPK,1.0,25.0,21.0,BPK,1.0,95.0,22.0,BIG,1.0,0.0,23.0,BIG,1.0,0.0,24.0
3542,NOR,,Susanne Andersen,,,Women,1998.0,,,,,,,,,,,,,,HPU,1.0,50.0,18.0,HPU,1.0,476.0,19.0,HPU,8.0,95.0,20.0,SUN,6.0,430.0,21.0,SUN,6.0,0.0,22.0
3456,SUI,,Nicole Brändli,,,Women,1979.0,,,,,,,,,,,,,,SEF,1.0,50.0,37.0,XYZ,1.0,0.0,38.0,,,,,,,,,,,,
3573,GER,,Jacqueline Dietrich,,,Women,1996.0,,,,,,,,,,,,,,XYZ,1.0,50.0,20.0,XYZ,1.0,0.0,21.0,XYZ,1.0,0.0,22.0,,,,,,,,
3621,NED,,Femke Geeris,,,Women,1996.0,,,,,,,,,,,,,,XYZ,1.0,50.0,20.0,MVC,1.0,0.0,21.0,MVC,1.0,0.0,22.0,WAT,1.0,0.0,23.0,EQU,1.0,0.0,24.0
3633,GBR,,Laura Massey,,,Women,1981.0,,,,,,,,,,,,,,DRP,1.0,40.0,35.0,DRP,1.0,0.0,36.0,XYZ,1.0,0.0,37.0,,,,,,,,
3475,DEN,,Pernille Mathiesen,,,Women,1997.0,,,,,,,,,,,,,,BMS,1.0,40.0,19.0,TVW,1.0,129.0,20.0,SUN,2.0,333.0,21.0,SUN,4.0,586.0,22.0,SUN,8.0,0.0,23.0
